,barrio,barrio-href,zona,ciudad,lat,lon
74,360 Espacio Canning,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=989&country=360%20Espacio%20Canning,Buenos Aires - Sur,Canning,-34.853166 , -58.501886
75,Condominios del Alto,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=880&country=Condominios%20del%20Alto,Prov. Santa Fe,Rosario,-32.926950 , -60.668078
76,San Pablo Country Life,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=746&country=San%20Pablo%20Country%20Life%20y%20Golf,Prov. Tucuman,Tucuman,-26.84697 , -65.308571
77,Martindale,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=156&country=Martindale,Buenos Aires - Norte,Pilar,-34.474773 , -58.842143
78,Los Pinguinos,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=149&country=Los%20Pinguinos,Buenos Aires - Oeste,Ituzaingo,-34.633985 , -58.718093
79,Las Margaritas,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=338&country=Las%20Margaritas,Buenos Aires - Norte,Pilar,-34.440210 , -58.902240
80,Lago del Torreon,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=917&country=Lago%20del%20Torreon,Prov. Mendoza,Maipu,,
81,La Angelica,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1159&country=La%20Angelica,Buenos Aires - Norte,Pilar,-34.457694 , -58.892638
82,La Retama,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=331&country=La%20Retama,Buenos Aires - Norte,Pilar,-34.442475 , -58.992256
83,Club De Campo Hacoaj,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=133&country=Club%20De%20Campo%20Hacoaj,Buenos Aires - Norte,Tigre,-34.424893 , -58.584568
84,Las Lagunitas,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=905&country=Las%20Lagunitas,Prov. Cordoba,Villa General Belgrano,,
85,Country Club el Venado,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=20&country=Country%20Club%20el%20Venado,Buenos Aires - Sur,Ezeiza,-34.872283 , -58.485220
86,Barrancas de San Jose,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=27&country=Barrancas%20de%20San%20Jose,Buenos Aires - Norte,Tigre,-34.451063 , -58.639256
87,Los Lagartos,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=148&country=Los%20Lagartos,Buenos Aires - Norte,Pilar,-34.417145 , -58.826495
88,Village Golf y Tenis,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=476&country=Village%20Golf%20y%20Tenis,Buenos Aires - Norte,Pilar,-34.458930 , -58.702988
89,El Solar Club de Campo,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1150&country=El%20Solar%20Club%20de%20Campo,Buenos Aires - Norte,Ramallo,-33.49094 , 60.063474
90,Villa Marina,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=855&country=Villa%20Marina,Buenos Aires - Norte,Tigre,,
91,El Solar de Victoria,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=566&country=El%20Solar%20de%20Victoria,Prov. Entre Rios,Victoria,-32.623696 , -60.176345
92,Las Victorias,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=171&country=Las%20Victorias,Buenos Aires - Norte,San Isidro,-34.575763 , -58.69264
93,Chacras de Anisacate,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1058&country=Chacras%20de%20Anisacate,Prov. Cordoba,Santa María,-31.733901 , -64.401311
94,El Aduar,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=429&country=El%20Aduar,Buenos Aires - Norte,Zarate,-34.003120 , -59.142970
95,Las Delicias,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=528&country=Las%20Delicias,Prov. Cordoba,Villa Warcalde,-31.367563 , -64.300426
96,La Antigua,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=925&country=La%20Antigua,Prov. San Luis,Merlo,,
97,El solar del Aguador,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=196&country=El%20solar%20del%20Aguador,Buenos Aires - Sur,La PLata,-35.075353 , -58.075713
98,Fincas de Hudson,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1170&country=Fincas%20de%20Hudson,Buenos Aires - Sur,Hudson,-34.820312 , -58.165483
99,Loma Verde,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=456&country=Loma%20Verde,Buenos Aires - Norte,Escobar,-34.323643 , -58.857735
100,Tupungato Winelands,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=591&country=Tupungato%20Winelands,Prov. Mendoza,Valle de Uco,-33.604386 , -69.052408
101,Malibu,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=3&country=Malibu,Buenos Aires - Sur,Canning,-34.936128 , -58.471163
102,Prados de la Vega,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1132&country=Prados%20de%20la%20Vega,Buenos Aires - Sur,Brandsen,-35.067156 , -58.129396
